country,country_code,year,gov_exp_pct_gdp,lit_rate_adult_pct,pri_comp_rate_pct,pupil_teacher_primary,pupil_teacher_secondary,school_enrol_primary_pct,school_enrol_secondary_pct,school_enrol_tertiary_pct
"Micronesia, Fed. Sts.",FSM,2016,13.51299953,,87.83895111,,,94.33408356,,
"Micronesia, Fed. Sts.",FSM,2017,12.41600037,,81.87274933,,,95.06621835,,
"Micronesia, Fed. Sts.",FSM,2018,9.69699955,,90.28595734,,,97.83982774,,
"Micronesia, Fed. Sts.",FSM,2019,10.22599983,,87.56324005,,,96.60934004,,
Middle East & North Africa,MEA,2015,,79.63973999,86.01730347,19.94048,14.79831,98.33422089,76.25184631,39.80131149
Middle East & North Africa,MEA,2016,4.452610135,78.47634888,85.37403107,20.45241,14.91463,98.23818207,76.56891632,39.68650818
Middle East & North Africa,MEA,2017,4.227494955,78.92874146,85.13401031,21.13095,14.99075,98.43100739,76.77770233,40.48339081
Middle East & North Africa,MEA,2018,4.168545008,79.2567215,85.99758148,21.32469,14.91591,98.55194092,77.10623932,40.94884872
Middle East & North Africa,MEA,2019,4.43173337,79.55386353,86.39070129,,,98.70609283,77.40666199,41.00447083
Middle East & North Africa (IDA & IBRD countries),TMN,2015,4.532108545,76.74092865,84.64201355,22.25553,15.878,98.08319855,73.42877197,38.13013077
Middle East & North Africa (IDA & IBRD countries),TMN,2016,3.687540054,75.24681091,83.99533081,22.63736,16.07018,98.0186615,73.65802765,37.50352859
Middle East & North Africa (IDA & IBRD countries),TMN,2017,3.596509933,75.70304108,83.40318298,23.17948,16.20945,98.153862,73.81817627,37.79534912
Middle East & North Africa (IDA & IBRD countries),TMN,2018,3.685610056,76.09047699,84.4500885,23.00915,16.17787,98.34934998,74.09223175,38.18481827
Middle East & North Africa (IDA & IBRD countries),TMN,2019,4.121653438,76.4992218,85.10662842,,,98.68636322,74.53027344,37.88206863
Middle East & North Africa (excluding high income),MNA,2015,4.663219929,76.94367981,84.82479858,22.27264,15.95591,98.05478668,73.70053864,38.24935913
Middle East & North Africa (excluding high income),MNA,2016,3.922260046,75.46948242,84.16829681,22.64947,16.1407,97.99575043,73.92967224,37.62112045
Middle East & North Africa (excluding high income),MNA,2017,3.733449936,75.92513275,83.64888,23.19498,16.28611,98.14562988,74.10791779,37.9091301
Middle East & North Africa (excluding high income),MNA,2018,,76.31310272,84.62928009,23.02361,16.20428,98.33239746,74.37476349,38.30484009
Middle East & North Africa (excluding high income),MNA,2019,,76.7212677,85.26319122,,,98.65863037,74.81918335,37.99036026
Middle income,MIC,2015,3.969330072,84.97399139,91.1257019,23.27888,18.43519,103.0143967,76.22125244,33.98138046
Middle income,MIC,2016,3.935930014,85.37055206,91.84674072,23.77868,18.01772,104.3546219,76.46578979,34.73532104
Middle income,MIC,2017,3.931309938,85.5535965,91.59790802,23.64407,17.81021,103.6841278,76.04477692,35.28681946
Middle income,MIC,2018,3.732675076,85.94582367,91.6219635,23.67467,17.83669,100.0257263,76.84030914,35.84579849
Middle income,MIC,2019,3.826144934,86.1155777,91.472229,,,99.90225983,77.3392868,36.90652084
Moldova,MDA,2015,5.805686951,,107.1129684,17.45665,9.34236,105.7220001,105.059288,52.09782028
Moldova,MDA,2016,5.67208004,,106.6207733,17.42007,9.22639,104.4644318,106.0476532,52.84141159
Moldova,MDA,2017,5.710169792,,107.2409134,17.68211,9.91073,103.6819,94.36382294,51.9473381
